UserID,Unidade,Nivel,Modalidade
9167ceaf618fb891286741a9ce352aec,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
b7828f641c05e4597fb57442dc0809b2,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (bacharelado),Presencial
4d1add2f464e2e7c6c80b7cc03e75192,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Presencial
515861ab0f94ab1979ee889f8d611c17,Faculdade de Odontologia - FOUFAL,Graduação (bacharelado),Presencial
0d61e33bf788a445410237362b4f1dcd,Instituto de Ciências Atmosféricas - ICAT,Graduação (bacharelado),Presencial
408dad80162593e01180fd1bfdb74dc3,Instituto de Educação Física e Esporte - IEFE,Graduação (bacharelado),Presencial
afacf4e7e4f757de5cdd1c6fd9cb63a2,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
cc82c83ecacc4d99bb46f827fdf33055,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Presencial
352c9c967d61c97cf4ff046abe4a671a,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
eb15453e58af1402a87bbe24a84f9988,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
10f90d10ae66d38fe81a4c2342e91535,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Presencial
35a55c580ed9466274440a685cd7bbd8,Campus CECA,Graduação (bacharelado),Presencial
b8d95ff8a70532e8a985407bdf9216d6,Faculdade de Nutrição - FANUT,Graduação (bacharelado),Presencial
918fc70f1b4276f0143a36a861338121,Instituto de Química e Biotecnologia - IQB,Graduação (bacharelado),Presencial
b65d00613df514b5de1e588982553768,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
5a2ab19cc27081ebbc2eba8b29fac641,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
512cde21862decf1078d106190638311,Campus CECA,Graduação (bacharelado),Presencial
5dc4f80a78e886954678341fed4e2904,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
d4d7e19a45bbd8721dfb1c44f3245ec6,Faculdade de Odontologia - FOUFAL,Graduação (bacharelado),Presencial
7cd75c8af21cabd1133ab372f3c5c8ef,Instituto de Computação - IC,Graduação (bacharelado),Presencial
ace36a4d03a99bfe51206d9605bfa862,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
de9ede5c3f61d529ef3eab33cca57570,Campus CECA,Graduação (bacharelado),Presencial
d9c918a27568f6486624c354c23dafd7,Faculdade de Letras - FALE,Graduação (licenciatura),Presencial
0c023de9e69b92d30c8627165dd6427e,Instituto de Ciências Biológicas e da Saúde - ICBS,Graduação (bacharelado),Presencial
412a06b622d3834eea489fac7ea26cf6,Instituto de Ciências Biológicas e da Saúde - ICBS,Graduação (licenciatura),Presencial
